"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FSMMA_genomic","SM2011_genomic"
"ybhR_2","","Inner membrane transport permease YbhR","2","2","1","1","1372","","","","1112","1112","1112","JPHAALHC_06285","PPGGGBPO_05939"
"group_6037","","hypothetical protein","2","2","1","1","1832","","","","443","443","443","JPHAALHC_05447","PPGGGBPO_05244"
"group_6038","","hypothetical protein","2","2","1","1","6068","","","","314","314","314","JPHAALHC_04068","PPGGGBPO_03756"
"dat_1","","D-alanine aminotransferase","2","2","1","1","5682","","","","863","863","863","JPHAALHC_00648","PPGGGBPO_02315"
"rhaS_3","","HTH-type transcriptional activator RhaS","2","2","1","1","1284","","","","935","935","935","JPHAALHC_06197","PPGGGBPO_06028"
"braC","","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","2","2","1","1","660","","","","1172","1172","1172","JPHAALHC_05719","PPGGGBPO_04970"
"group_6042","","Solute-binding protein","2","2","1","1","5372","","","","977","977","977","JPHAALHC_00965","PPGGGBPO_02056"
"gsiC_2","","Glutathione transport system permease protein GsiC","2","2","1","1","4810","","","","1109","1109","1109","JPHAALHC_01537","PPGGGBPO_01487"
"uxaC","","Uronate isomerase","2","2","1","1","1314","","","","1409","1409","1409","JPHAALHC_06227","PPGGGBPO_05998"
"group_6045","","hypothetical protein","2","2","1","1","5044","","","","617","620","618","JPHAALHC_01299","PPGGGBPO_01723"
"group_6046","","hypothetical protein","2","2","1","1","5059","","","","338","338","338","JPHAALHC_01284","PPGGGBPO_01738"
"pta","","Phosphate acetyltransferase","2","2","1","1","2485","","","","992","992","992","JPHAALHC_06188","PPGGGBPO_06037"
"cysNC_2","","Bifunctional enzyme CysN/CysC","2","2","1","1","1510","","","","1901","1901","1901","JPHAALHC_04910","PPGGGBPO_05803"
"pheT","","Phenylalanine--tRNA ligase beta subunit","2","2","1","1","6984","","","","2426","2426","2426","JPHAALHC_02882","PPGGGBPO_00062"
"group_6051","","putative signaling protein","2","2","1","1","2085","","","","1694","1694","1694","JPHAALHC_05196","PPGGGBPO_05500"
"group_6052","","hypothetical protein","2","2","1","1","5180","","","","350","350","350","JPHAALHC_01164","PPGGGBPO_01858"
"yfhM","","putative lipoprotein YfhM","2","2","1","1","1439","","","","5447","5447","5447","JPHAALHC_06351","PPGGGBPO_05874"
"rfbB_1","","dTDP-glucose 4,6-dehydratase","2","2","1","1","1505","","","","929","935","932","JPHAALHC_04906","PPGGGBPO_05807"
"group_6055","","hypothetical protein","2","2","1","1","743","","","","641","641","641","JPHAALHC_05797","PPGGGBPO_04888"
"group_6056","","hypothetical protein","2","2","1","1","788","","","","383","383","383","JPHAALHC_02687","PPGGGBPO_00257"
"group_6057","","hypothetical protein","2","2","1","1","5651","","","","725","725","725","JPHAALHC_00679","PPGGGBPO_02284"
"lsrC_1","","Autoinducer 2 import system permease protein LsrC","2","2","1","1","3700","","","","980","980","980","JPHAALHC_03205","PPGGGBPO_03181"
"glpD_4","","Aerobic glycerol-3-phosphate dehydrogenase","2","2","1","1","2140","","","","1733","1733","1733","JPHAALHC_05141","PPGGGBPO_05555"
"mrcA_2","","Penicillin-binding protein 1A","2","2","1","1","4093","","","","2213","2213","2213","JPHAALHC_00095","PPGGGBPO_02789"
"qoxB","","Quinol oxidase subunit 1","2","2","1","1","1299","","","","2522","2522","2522","JPHAALHC_06212","PPGGGBPO_06013"
"xylG_1","","Xylose import ATP-binding protein XylG","2","2","1","1","2984","","","","1526","1526","1526","JPHAALHC_04810","PPGGGBPO_04346"
"group_6063","","Delta(1)-pyrroline-2-carboxylate reductase","2","2","1","1","1905","","","","1037","1037","1037","JPHAALHC_05375","PPGGGBPO_05317"
"rbsC_9","","Ribose import permease protein RbsC","2","2","1","1","6516","","","","947","947","947","JPHAALHC_04669","PPGGGBPO_04476"
"menH_2","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","1","555","","","","1067","1067","1067","JPHAALHC_05622","PPGGGBPO_05073"
"livH_5","","High-affinity branched-chain amino acid transport system permease protein LivH","2","2","1","1","661","","","","863","863","863","JPHAALHC_05720","PPGGGBPO_04969"
"group_6067","","hypothetical protein","2","2","1","1","5221","","","","395","395","395","JPHAALHC_01123","PPGGGBPO_01899"
"ycjO_3","","Inner membrane ABC transporter permease protein YcjO","2","2","1","1","1514","","","","881","881","881","JPHAALHC_04914","PPGGGBPO_05799"
"group_6069","","hypothetical protein","2","2","1","1","6218","","","","1001","1001","1001","JPHAALHC_03920","PPGGGBPO_03901"
"opuAC","","Glycine betaine-binding protein OpuAC","2","2","1","1","2053","","","","938","938","938","JPHAALHC_05227","PPGGGBPO_05468"
"group_6071","","hypothetical protein","2","2","1","1","260","","","","473","473","473","JPHAALHC_02130","PPGGGBPO_00862"
"xdh_1","","D-xylose dehydrogenase","2","2","1","1","769","","","","1016","1016","1016","JPHAALHC_02706","PPGGGBPO_00238"
"yjmC_2","","putative oxidoreductase YjmC","2","2","1","1","6554","","","","998","1004","1001","JPHAALHC_04632","PPGGGBPO_04513"
"group_6074","gno_4","Gluconate 5-dehydrogenase","2","2","1","1","6653","","","","767","767","767","JPHAALHC_04370","PPGGGBPO_04770"
"group_6075","","hypothetical protein","2","2","1","1","791","","","","743","743","743","JPHAALHC_02684","PPGGGBPO_00260"
"group_6076","","hypothetical protein","2","2","1","1","5223","","","","1733","1733","1733","JPHAALHC_01121","PPGGGBPO_01901"
"yteT_2","","Putative oxidoreductase YteT","2","2","1","1","1427","","","","1160","1160","1160","JPHAALHC_06339","PPGGGBPO_05886"
"ytfQ_1","","ABC transporter periplasmic-binding protein YtfQ","2","2","1","1","760","","","","968","968","968","JPHAALHC_05814","PPGGGBPO_04871"
"group_6079","","hypothetical protein","2","2","1","1","5019","","","","1769","1769","1769","JPHAALHC_01325","PPGGGBPO_01697"
"nadE_2","","NH(3)-dependent NAD(+) synthetase","2","2","1","1","2732","","","","1004","1004","1004","JPHAALHC_05838","PPGGGBPO_04849"
"cca","","CCA-adding enzyme","2","2","1","1","4700","","","","1259","1259","1259","JPHAALHC_01648","PPGGGBPO_01375"
"group_6082","","hypothetical protein","2","2","1","1","2848","","","","467","467","467","JPHAALHC_05953","PPGGGBPO_06288"
"prn","","Pertactin autotransporter","2","2","1","1","4150","","","","4373","4373","4373","JPHAALHC_00153","PPGGGBPO_02730"
"group_6084","","hypothetical protein","2","2","1","1","2101","","","","509","509","509","JPHAALHC_05180","PPGGGBPO_05516"
"group_6085","","hypothetical protein","2","2","1","1","170","","","","1196","1196","1196","JPHAALHC_02039","PPGGGBPO_00955"
"group_6087","","hypothetical protein","2","2","1","1","4841","","","","1196","1196","1196","JPHAALHC_01506","PPGGGBPO_01518"
"group_6088","","hypothetical protein","2","2","1","1","5367","","","","1196","1196","1196","JPHAALHC_00970","PPGGGBPO_02043"
"rspR_5","","HTH-type transcriptional repressor RspR","2","2","1","1","6434","","","","692","692","692","JPHAALHC_04748","PPGGGBPO_04402"
"group_6099","puuB_1","Gamma-glutamylputrescine oxidoreductase","2","2","1","1","4856","","","","1289","1289","1289","JPHAALHC_01491","PPGGGBPO_01533"
"group_6100","","Aminopeptidase T","2","2","1","1","6999","","","","1256","1256","1256","JPHAALHC_02897","PPGGGBPO_00046"
"group_6101","","hypothetical protein","2","2","1","1","5247","","","","1187","1187","1187","JPHAALHC_01097","PPGGGBPO_01925"
"kipR","","HTH-type transcriptional regulator KipR","2","2","1","1","1519","","","","860","860","860","JPHAALHC_04919","PPGGGBPO_05794"
"tsaC1_2","","Glucose 1-dehydrogenase 4","2","2","1","1","2668","","","","749","749","749","JPHAALHC_06006","PPGGGBPO_06218"
"dppB_3","","Dipeptide transport system permease protein DppB","2","2","1","1","6150","","","","917","917","917","JPHAALHC_03988","PPGGGBPO_03833"
"hdl IVa","","(S)-2-haloacid dehalogenase 4A","2","2","1","1","4049","","","","662","662","662","JPHAALHC_00053","PPGGGBPO_02833"
"group_6106","","hypothetical protein","2","2","1","1","5678","","","","1148","1148","1148","JPHAALHC_00652","PPGGGBPO_02311"
"group_6107","","hypothetical protein","2","2","1","1","5154","","","","1148","1148","1148","JPHAALHC_01190","PPGGGBPO_01832"
"group_6108","","hypothetical protein","2","2","1","1","6959","","","","1148","1148","1148","JPHAALHC_02857","PPGGGBPO_00086"
"msrB_3","","Peptide methionine sulfoxide reductase MsrB","2","2","1","1","5916","","","","443","443","443","JPHAALHC_03755","PPGGGBPO_04090"
"group_6110","","hypothetical protein","2","2","1","1","1304","","","","452","452","452","JPHAALHC_06217","PPGGGBPO_06008"
"group_6111","","NAD(P)H dehydrogenase (quinone)","2","2","1","1","3509","","","","638","638","638","JPHAALHC_03735","PPGGGBPO_04113"
"acrB","","Multidrug efflux pump subunit AcrB","2","2","1","1","6888","","","","3146","3146","3146","JPHAALHC_02783","PPGGGBPO_00160"
"group_6113","","hypothetical protein","2","2","1","1","6190","","","","920","920","920","JPHAALHC_03948","PPGGGBPO_03873"
"yedA_1","","putative inner membrane transporter YedA","2","2","1","1","6795","","","","905","905","905","JPHAALHC_02329","PPGGGBPO_00686"
"yesO_2","","Putative ABC transporter substrate-binding protein YesO","2","2","1","1","2183","","","","1286","1286","1286","JPHAALHC_05096","PPGGGBPO_05594"
"group_6116","araN_1","putative arabinose-binding protein","2","2","1","1","1875","","","","1355","1355","1355","JPHAALHC_05405","PPGGGBPO_05287"
"group_6117","","hypothetical protein","2","2","1","1","2500","","","","6866","6866","6866","JPHAALHC_06173","PPGGGBPO_06052"
"polX","","DNA polymerase/3'-5' exonuclease PolX","2","2","1","1","1507","","","","740","740","740","JPHAALHC_04908","PPGGGBPO_05805"
"group_6119","","hypothetical protein","2","2","1","1","136","","","","875","875","875","JPHAALHC_02005","PPGGGBPO_00989"
"group_6120","hbpA_2","Heme-binding protein A","2","2","1","1","4806","","","","1589","1589","1589","JPHAALHC_01541","PPGGGBPO_01483"
"der","","GTPase Der","2","2","1","1","2627","","","","1430","1430","1430","JPHAALHC_06047","PPGGGBPO_06177"
"group_6122","","hypothetical protein","2","2","1","1","5526","","","","1487","1487","1487","JPHAALHC_00805","PPGGGBPO_02157"
"divL","","Sensor protein DivL","2","2","1","1","845","","","","2480","2480","2480","JPHAALHC_02625","PPGGGBPO_00320"
"fabF_4","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","2","1","1","1156","","","","1208","1208","1208","JPHAALHC_04233","PPGGGBPO_03505"
"yiaD_3","","putative lipoprotein YiaD","2","2","1","1","6596","","","","1262","1262","1262","JPHAALHC_04422","PPGGGBPO_04718"
"ureF","","Urease accessory protein UreF","2","2","1","1","4599","","","","671","671","671","JPHAALHC_01746","PPGGGBPO_01274"
"oppD_9","","Oligopeptide transport ATP-binding protein OppD","2","2","1","1","2117","","","","1802","1802","1802","JPHAALHC_05164","PPGGGBPO_05532"
"novR","","Decarboxylase NovR","2","2","1","1","3154","","","","791","791","791","JPHAALHC_03711","PPGGGBPO_04139"
"rpe_2","","Ribulose-phosphate 3-epimerase","2","2","1","1","1840","","","","686","686","686","JPHAALHC_05439","PPGGGBPO_05252"
"hemR","","Hemin receptor","2","2","1","1","5035","","","","2657","2657","2657","JPHAALHC_01308","PPGGGBPO_01714"
"group_6131","","hypothetical protein","2","2","1","1","2379","","","","1574","1574","1574","JPHAALHC_04122","PPGGGBPO_03699"
"group_6132","dnaX_2","DNA polymerase III subunit tau","2","2","1","1","6926","","","","1880","1880","1880","JPHAALHC_02822","PPGGGBPO_00121"
"group_6133","","hypothetical protein","2","2","1","1","4166","","","","1001","1001","1001","JPHAALHC_00169","PPGGGBPO_02714"
"group_6134","","hypothetical protein","2","2","1","1","6171","","","","1535","1535","1535","JPHAALHC_03967","PPGGGBPO_03854"
"dctB_2","","C4-dicarboxylate transport sensor protein DctB","2","2","1","1","1375","","","","1820","1820","1820","JPHAALHC_06288","PPGGGBPO_05936"
"group_6136","fabZ_1","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","2","2","1","1","5133","","","","476","476","476","JPHAALHC_01211","PPGGGBPO_01811"
"siaM_3","","Sialic acid TRAP transporter large permease protein SiaM","2","2","1","1","1942","","","","1280","1280","1280","JPHAALHC_05338","PPGGGBPO_05354"
"group_6138","","hypothetical protein","2","2","1","1","2770","","","","620","620","620","JPHAALHC_05874","PPGGGBPO_04815"
"group_6139","","hypothetical protein","2","2","1","1","1327","","","","848","848","848","JPHAALHC_06240","PPGGGBPO_05985"
"aqpZ2_2","","Aquaporin Z 2","2","2","1","1","6598","","","","698","698","698","JPHAALHC_04420","PPGGGBPO_04720"
"fabH","","3-oxoacyl-[acyl-carrier-protein] synthase 3","2","2","1","1","4314","","","","971","971","971","JPHAALHC_00316","PPGGGBPO_02567"
"cobN","","Aerobic cobaltochelatase subunit CobN","2","2","1","1","5116","","","","3827","3827","3827","JPHAALHC_01228","PPGGGBPO_01794"
"araC_4","","Arabinose operon regulatory protein","2","2","1","1","6007","","","","899","899","899","JPHAALHC_03832","PPGGGBPO_04007"
"htpG","","Chaperone protein HtpG","2","2","1","1","1391","","","","1889","1889","1889","JPHAALHC_06303","PPGGGBPO_05920"
"gsiB_2","","Glutathione-binding protein GsiB","2","2","1","1","6117","","","","1475","1475","1475","JPHAALHC_04021","PPGGGBPO_03803"
"group_6152","","hypothetical protein","2","2","1","1","6560","","","","350","350","350","JPHAALHC_04626","PPGGGBPO_04519"
"group_6153","","hypothetical protein","2","2","1","1","4326","","","","2138","2138","2138","JPHAALHC_00329","PPGGGBPO_02554"
"group_6154","","hypothetical protein","2","2","1","1","4758","","","","1955","1955","1955","JPHAALHC_01589","PPGGGBPO_01435"
"higA-2_2","","Antitoxin HigA-2","2","2","1","1","3121","","","","323","323","323","JPHAALHC_03690","PPGGGBPO_04232"
"group_6156","","hypothetical protein","2","2","1","1","1516","","","","1019","1025","1022","JPHAALHC_04916","PPGGGBPO_05797"
"cfiB","","2-oxoglutarate carboxylase small subunit","2","2","1","1","944","","","","3458","3458","3458","JPHAALHC_02529","PPGGGBPO_00420"
"ndhS_1","","Nicotinate dehydrogenase small FeS subunit","2","2","1","1","3229","","","","479","479","479","JPHAALHC_04533","PPGGGBPO_04174"
"group_6159","","hypothetical protein","2","2","1","1","2089","","","","563","563","563","JPHAALHC_05192","PPGGGBPO_05504"
"dmlR_5","","HTH-type transcriptional regulator DmlR","2","2","1","1","319","","","","932","932","932","JPHAALHC_02189","PPGGGBPO_00803"
"group_6161","","hypothetical protein","2","2","1","1","4978","","","","353","353","353","JPHAALHC_01367","PPGGGBPO_01656"
"group_6162","","hypothetical protein","2","2","1","1","5264","","","","1079","1079","1079","JPHAALHC_01080","PPGGGBPO_01942"
"rbsC_27","","Ribose import permease protein RbsC","2","2","1","1","1326","","","","992","992","992","JPHAALHC_06239","PPGGGBPO_05986"
"acrR_3","","HTH-type transcriptional regulator AcrR","2","2","1","1","2170","","","","608","608","608","JPHAALHC_05109","PPGGGBPO_05581"
"lcfB_2","","Long-chain-fatty-acid--CoA ligase","2","2","1","1","6491","","","","1526","1526","1526","JPHAALHC_04696","PPGGGBPO_04451"
"gcvA_13","","Glycine cleavage system transcriptional activator","2","2","1","1","2646","","","","899","899","899","JPHAALHC_06029","PPGGGBPO_06195"
"group_6167","ynhG_2","putative L,D-transpeptidase YnhG","2","2","1","1","4175","","","","740","740","740","JPHAALHC_00178","PPGGGBPO_02705"
"ycjP_3","","Inner membrane ABC transporter permease protein YcjP","2","2","1","1","2723","","","","899","899","899","JPHAALHC_05829","PPGGGBPO_04858"
"gmd","","hypothetical protein","2","2","1","1","553","","","","2543","2543","2543","JPHAALHC_05620","PPGGGBPO_05075"
"group_6170","","hypothetical protein","2","2","1","1","4930","","","","3704","3704","3704","JPHAALHC_01416","PPGGGBPO_01607"
"mglA_10","","Galactose/methyl galactoside import ATP-binding protein MglA","2","2","1","1","2562","","","","740","740","740","JPHAALHC_06111","PPGGGBPO_06115"
"lcfB_1","","Long-chain-fatty-acid--CoA ligase","2","2","1","1","4252","","","","2657","2657","2657","JPHAALHC_00254","PPGGGBPO_02630"
"treY","","Maltooligosyl trehalose synthase","2","2","1","1","654","","","","2627","2627","2627","JPHAALHC_05713","PPGGGBPO_04976"
"gabD_2","","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","2","2","1","1","2066","","","","1496","1496","1496","JPHAALHC_05215","PPGGGBPO_05481"
"cyaA_10","","Adenylate cyclase 1","2","2","1","1","2988","","","","692","692","692","JPHAALHC_04814","PPGGGBPO_04342"
"group_6176","","hypothetical protein","2","2","1","1","1831","","","","974","974","974","JPHAALHC_05448","PPGGGBPO_05243"
"group_6177","","hypothetical protein","2","2","1","1","731","","","","752","752","752","JPHAALHC_05785","PPGGGBPO_04899"
"mngR","","Mannosyl-D-glycerate transport/metabolism system repressor MngR","2","2","1","1","687","","","","734","734","734","JPHAALHC_05741","PPGGGBPO_04943"
"ctaB","","Protoheme IX farnesyltransferase","2","2","1","1","3985","","","","950","950","950","JPHAALHC_03488","PPGGGBPO_02898"
"dctM_2","","C4-dicarboxylate TRAP transporter large permease protein DctM","2","2","1","1","5155","","","","1793","1793","1793","JPHAALHC_01189","PPGGGBPO_01833"
"group_6181","","hypothetical protein","2","2","1","1","6499","","","","530","530","530","JPHAALHC_04688","PPGGGBPO_04459"
"amiC_2","","Putative amidase AmiC","2","2","1","1","2985","","","","1376","1376","1376","JPHAALHC_04811","PPGGGBPO_04345"
"dxs_1","","1-deoxy-D-xylulose-5-phosphate synthase","2","2","1","1","5374","","","","1046","1046","1046","JPHAALHC_00963","PPGGGBPO_02058"
"xypA_2","","Xylitol-binding protein","2","2","1","1","6558","","","","965","965","965","JPHAALHC_04628","PPGGGBPO_04517"
"group_6185","","hypothetical protein","2","2","1","1","2027","","","","971","971","971","JPHAALHC_05254","PPGGGBPO_05442"
"nlhH_2","","Carboxylesterase NlhH","2","2","1","1","7035","","","","815","815","815","JPHAALHC_03023","PPGGGBPO_03390"
"lhgO","","L-2-hydroxyglutarate oxidase LhgO","2","2","1","1","457","","","","1247","1247","1247","JPHAALHC_05528","PPGGGBPO_05164"
"fusA_2","","Elongation factor G","2","2","1","1","514","","","","1961","1961","1961","JPHAALHC_05582","PPGGGBPO_05113"
"phnE_1","","Phosphate-import permease protein PhnE","2","2","1","1","1400","","","","1517","1517","1517","JPHAALHC_06312","PPGGGBPO_05911"
"sucB_2","","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","2","2","1","1","546","","","","1136","1136","1136","JPHAALHC_05613","PPGGGBPO_05082"
"group_6191","","D-arabitol-phosphate dehydrogenase","2","2","1","1","2064","","","","1073","1073","1073","JPHAALHC_05217","PPGGGBPO_05479"
"merA","","Mercuric reductase","2","2","1","1","7013","","","","1421","1421","1421","JPHAALHC_03047","PPGGGBPO_03369"
"dapb1","","Dipeptidyl aminopeptidase BI","2","2","1","1","4066","","","","2108","2108","2108","JPHAALHC_00069","PPGGGBPO_02816"
"greA_2","","Transcription elongation factor GreA","2","2","1","1","6490","","","","482","482","482","JPHAALHC_04697","PPGGGBPO_04450"
"gcvA_9","","Glycine cleavage system transcriptional activator","2","2","1","1","6506","","","","917","917","917","JPHAALHC_04679","PPGGGBPO_04466"
"rspR_7","","HTH-type transcriptional repressor RspR","2","2","1","1","1196","","","","695","695","695","JPHAALHC_04271","PPGGGBPO_04810"
"rnd_2","","Ribonuclease D","2","2","1","1","4282","","","","1151","1151","1151","JPHAALHC_00283","PPGGGBPO_02600"
"glnL","","Nitrogen regulation protein NR(II)","2","2","1","1","5687","","","","1148","1148","1148","JPHAALHC_00643","PPGGGBPO_02320"
"group_6199","","hypothetical protein","2","2","1","1","4352","","","","2189","2189","2189","JPHAALHC_00354","PPGGGBPO_02529"
"group_6200","","hypothetical protein","2","2","1","1","2505","","","","593","593","593","JPHAALHC_06167","PPGGGBPO_06057"
"ytfQ_2","","ABC transporter periplasmic-binding protein YtfQ","2","2","1","1","1323","","","","983","983","983","JPHAALHC_06236","PPGGGBPO_05989"
"yhdN_4","","General stress protein 69","2","2","1","1","3547","","","","986","986","986","JPHAALHC_03068","PPGGGBPO_03351"
"thiD","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","2","2","1","1","2596","","","","800","800","800","JPHAALHC_06079","PPGGGBPO_06147"
"hutH_2","","Histidine ammonia-lyase","2","2","1","1","1410","","","","1535","1535","1535","JPHAALHC_06322","PPGGGBPO_05903"
"nifK_1","","Nitrogenase molybdenum-iron protein beta chain","2","2","1","1","1141","","","","1325","1325","1325","JPHAALHC_04221","PPGGGBPO_03517"
"btuF_3","","Vitamin B12-binding protein","2","2","1","1","2829","","","","1133","1133","1133","JPHAALHC_05933","PPGGGBPO_06307"
"hmp_2","","Flavohemoprotein","2","2","1","1","2390","","","","1211","1211","1211","JPHAALHC_04133","PPGGGBPO_03688"
"nifK_2","","Nitrogenase molybdenum-iron protein beta chain","2","2","1","1","1170","","","","1541","1541","1541","JPHAALHC_04247","PPGGGBPO_03492"
"group_6209","","hypothetical protein","2","2","1","1","6446","","","","332","332","332","JPHAALHC_04736","PPGGGBPO_04414"
"coxS_2","","Carbon monoxide dehydrogenase small chain","2","2","1","1","1451","","","","1481","1481","1481","JPHAALHC_06363","PPGGGBPO_05862"
"ycgJ_1","","putative methyltransferase YcgJ","2","2","1","1","4865","","","","1022","1022","1022","JPHAALHC_01480","PPGGGBPO_01542"
"alsT_1","","Amino-acid carrier protein AlsT","2","2","1","1","5141","","","","1418","1418","1418","JPHAALHC_01203","PPGGGBPO_01819"
"group_6213","","hypothetical protein","2","2","1","1","4973","","","","3074","3074","3074","JPHAALHC_01372","PPGGGBPO_01651"
"rob_1","","Right origin-binding protein","2","2","1","1","303","","","","839","839","839","JPHAALHC_02173","PPGGGBPO_00819"
"group_6215","","hypothetical protein","2","2","1","1","6228","","","","1763","1763","1763","JPHAALHC_03910","PPGGGBPO_03911"
"group_6216","","hypothetical protein","2","2","1","1","1830","","","","1187","1187","1187","JPHAALHC_05449","PPGGGBPO_05242"
"group_6217","","hypothetical protein","2","2","1","1","2547","","","","902","902","902","JPHAALHC_06126","PPGGGBPO_06099"
"csgA","","C-factor","2","2","1","1","2607","","","","668","668","668","JPHAALHC_06067","PPGGGBPO_06158"
"tam_2","","Trans-aconitate 2-methyltransferase","2","2","1","1","3612","","","","938","938","938","JPHAALHC_03134","PPGGGBPO_03271"
"group_6220","accA1_2","Acetyl-/propionyl-coenzyme A carboxylase alpha chain","2","2","1","1","1535","","","","1988","1988","1988","JPHAALHC_04935","PPGGGBPO_05778"
"mdtE","","Multidrug resistance protein MdtE","2","2","1","1","2764","","","","1121","1121","1121","JPHAALHC_05869","PPGGGBPO_04821"
"apc3_2","","Acetophenone carboxylase gamma subunit","2","2","1","1","542","","","","3617","3617","3617","JPHAALHC_05609","PPGGGBPO_05086"
"group_6223","","hypothetical protein","2","2","1","1","1959","","","","1217","1217","1217","JPHAALHC_05323","PPGGGBPO_05371"
"recN","","DNA repair protein RecN","2","2","1","1","4901","","","","1673","1673","1673","JPHAALHC_01444","PPGGGBPO_01578"
"katG","","Catalase-peroxidase","2","2","1","1","2976","","","","2183","2183","2183","JPHAALHC_04804","PPGGGBPO_04354"
"group_6226","","hypothetical protein","2","2","1","1","3413","","","","806","806","806","JPHAALHC_03656","PPGGGBPO_04601"
"treS","","Trehalose synthase/amylase TreS","2","2","1","1","459","","","","1634","1634","1634","JPHAALHC_05530","PPGGGBPO_05162"
"cdhR_10","","HTH-type transcriptional regulator CdhR","2","2","1","1","1987","","","","956","956","956","JPHAALHC_05294","PPGGGBPO_05399"
"group_6229","","hypothetical protein","2","2","1","1","1449","","","","857","857","857","JPHAALHC_06361","PPGGGBPO_05864"
"group_6233","","hypothetical protein","2","2","1","1","366","","","","908","908","908","JPHAALHC_02235","PPGGGBPO_00756"
"group_6234","","hypothetical protein","2","2","1","1","3010","","","","440","440","440","JPHAALHC_04830","PPGGGBPO_04315"
"phnM","","Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase","2","2","1","1","1402","","","","1139","1139","1139","JPHAALHC_06314","PPGGGBPO_05909"
"group_6236","","Putative 3-methyladenine DNA glycosylase","2","2","1","1","723","","","","557","557","557","JPHAALHC_05777","PPGGGBPO_04907"
"cocE_2","","Cocaine esterase","2","2","1","1","2836","","","","1736","1736","1736","JPHAALHC_05940","PPGGGBPO_06300"
"lacE","","Lactose-binding protein","2","2","1","1","567","","","","1274","1274","1274","JPHAALHC_05634","PPGGGBPO_05061"
"kefC_2","","Glutathione-regulated potassium-efflux system protein KefC","2","2","1","1","2507","","","","1781","1781","1781","JPHAALHC_06166","PPGGGBPO_06059"
"lsrC_3","","Autoinducer 2 import system permease protein LsrC","2","2","1","1","1674","","","","1031","1031","1031","JPHAALHC_05007","PPGGGBPO_05672"
"group_6241","","hypothetical protein","2","2","1","1","1541","","","","731","731","731","JPHAALHC_04941","PPGGGBPO_05772"
"gsiD_9","","Glutathione transport system permease protein GsiD","2","2","1","1","6455","","","","821","821","821","JPHAALHC_04727","PPGGGBPO_04423"
"yehZ","","Glycine betaine-binding protein YehZ","2","2","1","1","1431","","","","917","917","917","JPHAALHC_06343","PPGGGBPO_05882"
"group_6244","opuAB_1","Glycine betaine transport system permease protein OpuAB","2","2","1","1","4664","","","","845","845","845","JPHAALHC_01682","PPGGGBPO_01339"
"rspR_12","","HTH-type transcriptional repressor RspR","2","2","1","1","1963","","","","659","659","659","JPHAALHC_05319","PPGGGBPO_05375"
"kdpE","","Transcriptional regulatory protein KdpE","2","2","1","1","3009","","","","692","692","692","JPHAALHC_04829","PPGGGBPO_04316"
"group_6247","","hypothetical protein","2","2","1","1","2109","","","","431","431","431","JPHAALHC_05172","PPGGGBPO_05524"
"rfbG_2","","CDP-glucose 4,6-dehydratase","2","2","1","1","2844","","","","1070","1070","1070","JPHAALHC_05948","PPGGGBPO_06292"
"group_6249","","Purine-binding protein","2","2","1","1","6187","","","","1094","1094","1094","JPHAALHC_03951","PPGGGBPO_03870"
"cmpR_2","","HTH-type transcriptional activator CmpR","2","2","1","1","646","","","","920","920","920","JPHAALHC_05705","PPGGGBPO_04984"
"group_6251","","hypothetical protein","2","2","1","1","6952","","","","1580","1580","1580","JPHAALHC_02849","PPGGGBPO_00094"
"ce","","Cellobiose 2-epimerase","2","2","1","1","414","","","","1157","1157","1157","JPHAALHC_02286","PPGGGBPO_00731"
"phnC","","Phosphate-import ATP-binding protein PhnC","2","2","1","1","1397","","","","839","839","839","JPHAALHC_06309","PPGGGBPO_05914"
"group_6254","","hypothetical protein","2","2","1","1","1795","","","","1187","1187","1187","JPHAALHC_05484","PPGGGBPO_05207"
"nasA","","Nitrate reductase","2","2","1","1","2617","","","","2657","2657","2657","JPHAALHC_06057","PPGGGBPO_06168"
"dauA_2","","FAD-dependent catabolic D-arginine dehydrogenase DauA","2","2","1","1","1395","","","","1127","1127","1127","JPHAALHC_06307","PPGGGBPO_05916"
"group_6266","","hypothetical protein","2","2","1","1","3744","","","","1304","1304","1304","JPHAALHC_03249","PPGGGBPO_03137"
"hom","","Homoserine dehydrogenase","2","2","1","1","5348","","","","1322","1322","1322","JPHAALHC_00995","PPGGGBPO_02027"
"hcrA_1","","4-hydroxybenzoyl-CoA reductase subunit alpha","2","2","1","1","3230","","","","2252","2252","2252","JPHAALHC_04532","PPGGGBPO_04173"
"degU_3","","Transcriptional regulatory protein DegU","2","2","1","1","6211","","","","683","683","683","JPHAALHC_03927","PPGGGBPO_03894"
